SN,tel,eng,names,finalised
443,"సైనాథ్ హాస్పిటల్, పుణె ","Sainath హాస్పిటల్, Pune","సాయినాథ్ హాస్పిటల్, పూణే","సాయినాథ్ హాస్పిటల్, పూణే"
444,గార్డియన్ మల్టీసిపాలిటీ హాస్పిటల్,Guardian Multispeciality హాస్పిటల్,గార్డియన్ ముల్టీస్పెషలిటీ హాస్పిటల్,గార్డియన్ మల్టీసిపాలిటీ హాస్పిటల్
445,నర్మదా ట్రామా సెంటర్ ప్రైవేట్. లిమిటెడ్ .,Narmada Trauma Centre ప్రైవేట్. లిమిటెడ్ .,నర్మదా ట్రామా సెంటర్ ప్రైవేట్. లిమిటెడ్ .,నర్మదా ట్రామా సెంటర్ ప్రైవేట్. లిమిటెడ్ .
446,రోజు జనరల్ హాస్పిటల్,Daya General హాస్పిటల్,దయ జనరల్ హాస్పిటల్,దయ జనరల్ హాస్పిటల్
447,"సహ్యాద్రి స్పెషాలిటీ హాస్పిటల్, నగర్ రోడ్ ","Sahyadri Speciality హాస్పిటల్, Nagar Road","సహ్యాద్రి స్పెషలిటీ హాస్పిటల్, నగర్ రోడ్","సహ్యాద్రి స్పెషాలిటీ హాస్పిటల్, నగర్ రోడ్ "
448,బన్సాల్ హాస్పిటల్,Bansal హాస్పిటల్,బన్సల్ హాస్పిటల్,బన్సల్ హాస్పిటల్
449,మెయిర్ హాస్పిటల్ లిమిటెడ్,Medeor హాస్పిటల్ లిమిటెడ్,మెడెర్ హాస్పిటల్ లిమిటెడ్,మెడెర్ హాస్పిటల్ లిమిటెడ్
450,"రాక్లాండ్ హాస్పిటల్, ద్వారకా ","Rockland హాస్పిటల్, Dwarka","రొకేక్లాండ్ హాస్పిటల్, ద్వారకా","రాక్లాండ్ హాస్పిటల్, ద్వారకా "
451,పార్వతి ఆర్తో హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .,Parvathy Ortho హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .,పర్వతే ఆర్థో హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .,పార్వతి ఆర్తో హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .
452,అపోలో హాస్పిటల్స్,Apollo హాస్పిటల్స్,అపోలో హాస్పిటల్స్,అపోలో హాస్పిటల్స్
453,క్ర.సం. రాహేజా (ఒక ఫోర్టిస్ అసోసియేట్) హాస్పిటల్,S.L. Raheja (A Fortis Associate) హాస్పిటల్,S.L. రహేజా (A ఫోర్టిస్ Associate) హాస్పిటల్,S.L. రాహేజా (ఒక ఫోర్టిస్ అసోసియేట్) హాస్పిటల్
454,షాల్బీ హాస్పిటల్స్,Shalby హాస్పిటల్స్,షాల్బ్య హాస్పిటల్స్,షాల్బీ హాస్పిటల్స్
455,"మిస్టర్ రామ్ దేవత Moltistuality హాస్పిటల్, న్యూ టౌన్ ","Sree Rama Devi Multispeciality హాస్పిటల్, Bhavani Nagar","శ్రీ రామ దేవి ముల్టీస్పెషలిటీ హాస్పిటల్, భవాని నగర్","శ్రీ రామ దేవి ముల్టీస్పెషలిటీ హాస్పిటల్, భవాని నగర్"
456,"అమరి హాస్పిటల్, ముకుంద్పూర్ ","AMRI హాస్పిటల్, Mukundapur","మరి హాస్పిటల్, ముకుందాపూర్","AMRI హాస్పిటల్, ముకుంద్పూర్ "
457,శార్దా హాస్పిటల్,Sharda హాస్పిటల్,శారదా హాస్పిటల్,శార్దా హాస్పిటల్
458,సంఘంత్ర హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్ .,Sanghamitra హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్ .,సంఘమిత్ర హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్ .,సంఘమిత్ర హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్ .
459,బ్రిజ్ లాల్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్ ప్రైవేట్. లిమిటెడ్ .,Brij Lal హాస్పిటల్ అండ్ Research Centre ప్రైవేట్. లిమిటెడ్ .,బ్రీజ్ లాల్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్ ప్రైవేట్. లిమిటెడ్ .,బ్రిజ్ లాల్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్ ప్రైవేట్. లిమిటెడ్ .
460,మెడికల్ హాస్పిటల్.,మెడికవర్ హాస్పిటల్,మెడికోవే హాస్పిటల్,మెడికవర్ హాస్పిటల్
461,"అమరి హాస్పిటల్ లెఫ్టినెంట్, ధకురి ","AMRI హాస్పిటల్స్ లిమిటెడ్ ., Dhakuria","మరి హాస్పిటల్స్ లిమిటెడ్ ., ఢాకురియా","AMRI హాస్పిటల్స్ లిమిటెడ్ ., ఢాకురియా"
462,నమ్మిన చర్చి మెడికల్ కాలేజీ హాస్పిటల్,Believers Churuch Medical College హాస్పిటల్,బెలిఎవెర్స్ చురుచు మెడికల్ కాలేజీ హాస్పిటల్,బిలీవర్స్ చర్చి మెడికల్ కాలేజీ హాస్పిటల్
463,బ్రీచ్ కాండీ హాస్పిటల్ ట్రస్ట్,Breach Candy హాస్పిటల్ Trust,బ్రేఅక్ క్యాండీ హాస్పిటల్ ట్రస్ట్,బ్రీచ్ కాండీ హాస్పిటల్ ట్రస్ట్
464,కృష్ణ ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్ లిమిటెడ్. (కిమ్స్),Krishna Institute of Medical Sciences లిమిటెడ్ . (KIMS),కృష్ణ ఇన్స్టిట్యూట్ అఫ్ మెడికల్ సైన్సెస్ లిమిటెడ్ . (KIMS),కృష్ణ ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్ లిమిటెడ్. (కిమ్స్)
465,"మణిపలా ఆసుపత్రి, మల్లెషమ్ ","Manipal Northside హాస్పిటల్, Malleshwaram","మణిపాల్ నార్త్ సైడ్  హాస్పిటల్, మల్లేశ్వరం","మణిపాల్ నార్త్ సైడ్  హాస్పిటల్, మల్లేశ్వరం"
466,"హాస్పిటల్ ఫూగ్రామ్ అండ్ పునరుద్ధరణ కేంద్రం, ","Choithram హాస్పిటల్ and Research Centre, ","చోయ్త్రామ్ హాస్పిటల్ అండ్ రీసెర్చ్ Centre,",చోయ్త్రామ్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్
467,ట్రిస్టార్ ఆసుపత్రి,Tristar హాస్పిటల్,త్రీస్టార్ హాస్పిటల్,ట్రిస్టార్ ఆసుపత్రి
468,EMC సూపర్ స్పెషాలిటీ హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్ .,EMC Super Speciality హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్ .,ఎంసీ సూపర్ స్పెషలిటీ హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్ .,EMC సూపర్ స్పెషాలిటీ హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్ .
